state,x,y
Jammu And Kashmir,-80,199
Himachal Pradesh,-68,159
Punjab,-98,139
Haryana,-90,110
Uttarakhand,-43,133
Rajasthan,-121,69
Delhi,-76,104
Uttar Pradesh,-44,88
Bihar,58,55
Sikkim,92,81
West Bengal,84,14
Assam,152,67
Meghalaya,134,52
Arunachal Pradesh,169,105
Nagaland,182,63
Manipur,168,35
Mizoram,157,23
Tripura,142,27
Madhya Pradesh,-57,13
Jharkhand,47,16
Odisha,29,-32
Chhattisgarh,-3,-15
Maharashtra,-100,-46
Gujarat,-172,9
Telangana,-50,-82
Andra Pradesh,-46,-120
Karnataka,-106,-132
Goa,-138,-123
Tamil Nadu,-62,-191
Kerala,-101,-207